Site,D_Annularis_total,D_sargus_total,D_vulgaris_total,S_aurata_total,C_julis_total,T_pavo_total,S_salp_total
One,2,0,21,0,3,0,0
Two,0,0,11,0,2,0,0
Three,0,0,68,0,7,0,0
Four,30,0,47,0,1,0,0
Five,0,0,4,0,4,0,0
Six,15,0,19,0,4,0,12
Seven,0,0,27,0,1,0,0
Eight,4,0,32,1,9,0,0
Nine,7,0,57,0,1,0,4
Ten,24,0,32,0,8,0,1
Eleven,15,0,35,0,4,0,6
Twelve,0,0,4,0,4,0,0
Thirteen,0,0,9,0,8,0,0
